id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	epi_Ciliated|epi_Ciliated	epi_Ciliated|epi_Pre-ciliated	epi_Ciliated|epi_SOX9_LGR5	epi_Ciliated|epi_SOX9_prolif	epi_Ciliated|epi_SOX9	epi_Ciliated|Fibroblast eS	epi_Ciliated|Lymphoid	epi_Ciliated|Myeloid	epi_Ciliated|Fibroblast C7	epi_Pre-ciliated|epi_Ciliated	epi_Pre-ciliated|epi_Pre-ciliated	epi_Pre-ciliated|epi_SOX9_LGR5	epi_Pre-ciliated|epi_SOX9_prolif	epi_Pre-ciliated|epi_SOX9	epi_Pre-ciliated|Fibroblast eS	epi_Pre-ciliated|Lymphoid	epi_Pre-ciliated|Myeloid	epi_Pre-ciliated|Fibroblast C7	epi_SOX9_LGR5|epi_Ciliated	epi_SOX9_LGR5|epi_Pre-ciliated	epi_SOX9_LGR5|epi_SOX9_LGR5	epi_SOX9_LGR5|epi_SOX9_prolif	epi_SOX9_LGR5|epi_SOX9	epi_SOX9_LGR5|Fibroblast eS	epi_SOX9_LGR5|Lymphoid	epi_SOX9_LGR5|Myeloid	epi_SOX9_LGR5|Fibroblast C7	epi_SOX9_prolif|epi_Ciliated	epi_SOX9_prolif|epi_Pre-ciliated	epi_SOX9_prolif|epi_SOX9_LGR5	epi_SOX9_prolif|epi_SOX9_prolif	epi_SOX9_prolif|epi_SOX9	epi_SOX9_prolif|Fibroblast eS	epi_SOX9_prolif|Lymphoid	epi_SOX9_prolif|Myeloid	epi_SOX9_prolif|Fibroblast C7	epi_SOX9|epi_Ciliated	epi_SOX9|epi_Pre-ciliated	epi_SOX9|epi_SOX9_LGR5	epi_SOX9|epi_SOX9_prolif	epi_SOX9|epi_SOX9	epi_SOX9|Fibroblast eS	epi_SOX9|Lymphoid	epi_SOX9|Myeloid	epi_SOX9|Fibroblast C7	Fibroblast eS|epi_Ciliated	Fibroblast eS|epi_Pre-ciliated	Fibroblast eS|epi_SOX9_LGR5	Fibroblast eS|epi_SOX9_prolif	Fibroblast eS|epi_SOX9	Fibroblast eS|Fibroblast eS	Fibroblast eS|Lymphoid	Fibroblast eS|Myeloid	Fibroblast eS|Fibroblast C7	Lymphoid|epi_Ciliated	Lymphoid|epi_Pre-ciliated	Lymphoid|epi_SOX9_LGR5	Lymphoid|epi_SOX9_prolif	Lymphoid|epi_SOX9	Lymphoid|Fibroblast eS	Lymphoid|Lymphoid	Lymphoid|Myeloid	Lymphoid|Fibroblast C7	Myeloid|epi_Ciliated	Myeloid|epi_Pre-ciliated	Myeloid|epi_SOX9_LGR5	Myeloid|epi_SOX9_prolif	Myeloid|epi_SOX9	Myeloid|Fibroblast eS	Myeloid|Lymphoid	Myeloid|Myeloid	Myeloid|Fibroblast C7	Fibroblast C7|epi_Ciliated	Fibroblast C7|epi_Pre-ciliated	Fibroblast C7|epi_SOX9_LGR5	Fibroblast C7|epi_SOX9_prolif	Fibroblast C7|epi_SOX9	Fibroblast C7|Fibroblast eS	Fibroblast C7|Lymphoid	Fibroblast C7|Myeloid	Fibroblast C7|Fibroblast C7	epi_Ciliated|epi_Lumenal 1	epi_Ciliated|epi_Lumenal 2	epi_Ciliated|epi_Glandular	epi_Ciliated|epi_Glandular_secretory	epi_Ciliated|Fibroblast dS	epi_Lumenal 1|epi_Ciliated	epi_Lumenal 1|epi_Lumenal 1	epi_Lumenal 1|epi_Lumenal 2	epi_Lumenal 1|epi_Glandular	epi_Lumenal 1|epi_Glandular_secretory	epi_Lumenal 1|Fibroblast dS	epi_Lumenal 1|Lymphoid	epi_Lumenal 1|epi_SOX9	epi_Lumenal 1|Fibroblast C7	epi_Lumenal 1|Myeloid	epi_Lumenal 2|epi_Ciliated	epi_Lumenal 2|epi_Lumenal 1	epi_Lumenal 2|epi_Lumenal 2	epi_Lumenal 2|epi_Glandular	epi_Lumenal 2|epi_Glandular_secretory	epi_Lumenal 2|Fibroblast dS	epi_Lumenal 2|Lymphoid	epi_Lumenal 2|epi_SOX9	epi_Lumenal 2|Fibroblast C7	epi_Lumenal 2|Myeloid	epi_Glandular|epi_Ciliated	epi_Glandular|epi_Lumenal 1	epi_Glandular|epi_Lumenal 2	epi_Glandular|epi_Glandular	epi_Glandular|epi_Glandular_secretory	epi_Glandular|Fibroblast dS	epi_Glandular|Lymphoid	epi_Glandular|epi_SOX9	epi_Glandular|Fibroblast C7	epi_Glandular|Myeloid	epi_Glandular_secretory|epi_Ciliated	epi_Glandular_secretory|epi_Lumenal 1	epi_Glandular_secretory|epi_Lumenal 2	epi_Glandular_secretory|epi_Glandular	epi_Glandular_secretory|epi_Glandular_secretory	epi_Glandular_secretory|Fibroblast dS	epi_Glandular_secretory|Lymphoid	epi_Glandular_secretory|epi_SOX9	epi_Glandular_secretory|Fibroblast C7	epi_Glandular_secretory|Myeloid	Fibroblast dS|epi_Ciliated	Fibroblast dS|epi_Lumenal 1	Fibroblast dS|epi_Lumenal 2	Fibroblast dS|epi_Glandular	Fibroblast dS|epi_Glandular_secretory	Fibroblast dS|Fibroblast dS	Fibroblast dS|Lymphoid	Fibroblast dS|epi_SOX9	Fibroblast dS|Fibroblast C7	Fibroblast dS|Myeloid	Lymphoid|epi_Lumenal 1	Lymphoid|epi_Lumenal 2	Lymphoid|epi_Glandular	Lymphoid|epi_Glandular_secretory	Lymphoid|Fibroblast dS	epi_SOX9|epi_Lumenal 1	epi_SOX9|epi_Lumenal 2	epi_SOX9|epi_Glandular	epi_SOX9|epi_Glandular_secretory	epi_SOX9|Fibroblast dS	Fibroblast C7|epi_Lumenal 1	Fibroblast C7|epi_Lumenal 2	Fibroblast C7|epi_Glandular	Fibroblast C7|epi_Glandular_secretory	Fibroblast C7|Fibroblast dS	Myeloid|epi_Lumenal 1	Myeloid|epi_Lumenal 2	Myeloid|epi_Glandular	Myeloid|epi_Glandular_secretory	Myeloid|Fibroblast dS
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.064																								0.264			0.177						0.29			0.202						0.296			0.208		0.197				0.404			0.317																																																																																												0.329										
CPI-SC0755F1632	COL18A1_integrin_a11b1_complex	simple:P39060	complex:integrin_a11b1_complex	COL18A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.064																		0.416									0.588									0.537									0.5									0.401																											0.4														0.559										0.52										0.396																				0.382																					
CPI-SC0FE1FBFB5	WNT5B_FZD6_LRP5	simple:Q9H1J7	complex:FZD6_LRP5	WNT5B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.064																																														0.146	0.092	0.112	0.104	0.104																																																																													0.161	0.095	0.1	0.087				0.119																						
CPI-SC0EFDBED2D	THY1_integrin_aXb2_complex	simple:P04216	complex:integrin_aXb2_complex	THY1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by antigen THY1	0.064																																																				0.787	0.849								0.277	0.339								0.245	0.308								0.311	0.374																																																					0.462			0.524																				
CPI-SC034EE8AAA	FN1_integrin_a4b7_complex	simple:P02751	complex:integrin_a4b7_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.064																																																		0.417		0.522	0.474																	0.254							0.264		0.369	0.322																																																					0.456	0.351		0.408																				
CPI-SS0D46E2B45	TGFB3_TGFBR3	simple:P10600	simple:Q03167	TGFB3	TGFBR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Transforming growth factor	0.064																																				0.175																		0.223																			0.143	0.179		0.143	0.135	0.165			0.268																																																																				0.174		0.182					
CPI-SS00F4019EA	C3_C5AR2	simple:P01024	simple:Q9P296	C3	C5AR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.064																						0.328	0.334								0.15	0.156								0.147	0.153																																			0.169	0.175																																					0.212																				0.242																						
CPI-CC0564402E8	atRetinoicAcid_byALDH1A3_RAreceptor_RARA_RXRA	complex:atRetinoicAcid_byALDH1A3	complex:RAreceptor_RARA_RXRA			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.064						0.155																		0.146																											0.154																																																																												0.411	0.387	0.38	0.383		0.419	0.421	0.41																						
CPI-CC07CAD6A4A	atRetinoicAcid_byALDH1A3_RAreceptor_RXRA	complex:atRetinoicAcid_byALDH1A3	complex:RAreceptor_RXRA			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.064						0.155																																													0.154																															0.153																																													0.411	0.435	0.38	0.383		0.419	0.427	0.41																						
CPI-SC018C0B727	WNT5B_FZD3_LRP6	simple:Q9H1J7	complex:FZD3_LRP6	WNT5B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.064																																															0.17	0.136	0.144	0.104	0.111																																																																													0.135	0.144	0.111		0.114		0.119																						
CPI-SC0AE0AAAFB	WNT7A_FZD2_LRP5	simple:O00755	complex:FZD2_LRP5	WNT7A		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.071				0.082		0.083							0.077		0.078							0.284	0.265	0.285							0.141	0.123	0.142																																																													0.141																																																														
CPI-SC069D8A1BA	WNT7A_FZD2_LRP6	simple:O00755	complex:FZD2_LRP6	WNT7A		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.071				0.082		0.108							0.077		0.103							0.284	0.265	0.31							0.141	0.123	0.167																																																													0.141																																																														
CPI-SC0E11F543C	WNT4_FZD3_LRP5	simple:P56705	complex:FZD3_LRP5	WNT4		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.071																																														0.289	0.262	0.282	0.275	0.275	0.247																																																																												0.381	0.342	0.347	0.334				0.366																						
CPI-CS0259A0EB4	Dehydroepiandrosterone_bySTS_PPARA	complex:Dehydroepiandrosterone_bySTS	simple:Q07869		PPARA	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.071																																																							0.121	0.102	0.169	0.112	0.152	0.147																																																																													0.131	0.151	0.137	0.127	0.187															
CPI-SC02753B9BD	WNT5B_FZD3_LRP5	simple:Q9H1J7	complex:FZD3_LRP5	WNT5B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.071																																														0.119	0.092	0.112	0.104	0.104	0.077																																																																												0.134	0.095	0.1	0.087				0.119																						
CPI-SC0D10396B4	COL21A1_integrin_a2b1_complex	simple:Q96P44	complex:integrin_a2b1_complex	COL21A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.071	0.231	0.281	0.285	0.328	0.468								0.19	0.33																																																																				0.193	0.254	0.389	0.307																																																																							
CPI-SC07D1540F8	WNT5A_FZD2_LRP6	simple:P41221	complex:FZD2_LRP6	WNT5A		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.071						0.116																		0.122							0.148	0.129	0.173									0.136							0.339	0.321	0.365																																											0.119																																								0.211																						
CPI-SC019D0A439	SEMA3A_PlexinA2_complex1	simple:Q14563	complex:PlexinA2_complex1	SEMA3A		True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.071										0.081									0.12	0.106	0.097							0.145	0.131	0.122							0.119	0.105	0.096																																																																																																								0.086													
CPI-SS05D62446A	FGF9_FGFR3	simple:P31371	simple:P22607	FGF9	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.071																					0.204	0.195	0.197							0.16	0.151	0.153							0.09	0.081	0.084																																																					0.204										0.139																																																				
CPI-SC0E509A5C6	COL7A1_integrin_a1b1_complex	simple:Q02388	complex:integrin_a1b1_complex	COL7A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.071																0.301									0.266																							0.273	0.253	0.279	0.269	0.453																																																																													0.223	0.231		0.249	0.353																							
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.071																																																0.249	0.268	0.279				0.274																																																																									0.273	0.254	0.313	0.331	0.366			0.365	0.36																					
CPI-SS0C0329180	LRRTM2_NRXN3	simple:O43300	simple:Q9HDB5	LRRTM2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.071										0.127		0.169							0.139		0.181							0.138		0.18							0.147		0.189																																																																																																							0.262	0.256	0.094												
CPI-CS047D9C0D7	LeukotrieneB4_byLTA4H_LTB4R	complex:LeukotrieneB4_byLTA4H	simple:Q15722		LTB4R	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.071																												0.206	0.193						0.213		0.194	0.182						0.202																				0.241	0.229						0.249																										0.151									0.159																																																		
CPI-SC074D3FFBC	TGFB3_TGFbeta_receptor2	simple:P10600	complex:TGFbeta_receptor2	TGFB3		True	False	True	curated	False	Ligand-Receptor	Signaling by Transforming growth factor	0.071																																																	0.11	0.117	0.113		0.099																					0.138	0.14	0.155	0.162	0.158		0.144																																																																						0.137						
CPI-SS0FA9304CE	LRFN4_PTPRD	simple:Q6PJG9	simple:P23468	LRFN4	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.071															0.086									0.083									0.074									0.088									0.094																																									0.089										0.089										0.09										0.09										0.12														0.104										
CPI-SS0C21302BC	NCAM1_AGRN	simple:P13591	simple:O00468	NCAM1	AGRN	True	True	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.071																																																							0.302	0.471	0.457	0.365	0.353	0.237		0.212																																																																											0.329	0.289	0.29	0.326																
CPI-SC03C325B42	ICAM3_integrin_aDb2_complex	simple:P32942	complex:integrin_aDb2_complex	ICAM3		False	False	False	curated	True	Ligand-Receptor	Adhesion by ICAM	0.071							0.122									0.197									0.125									0.155									0.172									0.147									0.306									0.169																							0.126										0.135										0.132																																											
CPI-SS0EEF491E3	SLITRK4_PTPRS	simple:Q8IW52	simple:Q13332	SLITRK4	PTPRS	False	False	True	curated	False	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	0.071																														0.211	0.206	0.192	0.219			0.218			0.213	0.207	0.194	0.22			0.219																																																																																																					0.203										
CPI-SS097A84265	APP_TNFRSF21	simple:P05067	simple:O75509	APP	TNFRSF21	False	False	True	curated	False	Ligand-Receptor	Signaling by Amyloid-beta precursor protein	0.071																					0.512		0.503	0.501		0.508																				0.537	0.552	0.568	0.524	0.558	0.556		0.563																																																																																																							
CPI-SS029C16DCA	CD58_CD2	simple:P19256	simple:P06729	CD58	CD2	False	False	True	curated	False	Ligand-Receptor		0.071							0.48									0.49									0.444									0.453									0.472																		0.453									0.52																							0.431										0.443										0.457										0.49																																	
CPI-SC065DB6486	COL21A1_integrin_a1b1_complex	simple:Q96P44	complex:integrin_a1b1_complex	COL21A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.071			0.219	0.199	0.225	0.215	0.4									0.261																																																																		0.216	0.269	0.277	0.205	0.295																																																																						
CPI-SC04091DFF6	WNT2B_FZD1_LRP6	simple:Q93097	complex:FZD1_LRP6	WNT2B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.071																					0.113	0.107	0.106	0.101															0.095	0.089	0.088	0.084																																																																																																				0.102	0.125	0.097												
CPI-SC068774A8A	WNT4_FZD6_LRP6	simple:P56705	complex:FZD6_LRP6	WNT4		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.071																																														0.247	0.347	0.366	0.354	0.317																																																																													0.339	0.382	0.391	0.358	0.35			0.409																						
CPI-SS0BC7F3EB5	SEMA4D_CD72	simple:Q92854	simple:P21854	SEMA4D	CD72	False	True	False	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.071								0.122									0.122									0.148									0.164									0.14									0.14									0.307									0.167																									0.153										0.138																				0.137																														
CPI-SC01D95B14C	BMP4_BMR1A_AVR2B	simple:P12644	complex:BMR1A_AVR2B	BMP4		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.071																																																																									0.126	0.115		0.116	0.11	0.145																																																	0.102	0.088	0.082					0.085													0.113	0.107								
CPI-SC094731290	WNT4_FZD1_LRP5	simple:P56705	complex:FZD1_LRP5	WNT4		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.071																																														0.232	0.241	0.265	0.259	0.258	0.247																																																																												0.324	0.342	0.347	0.334				0.349																						
CPI-SS0D168412F	FASLG_FAS	simple:P48023	simple:P25445	FASLG	FAS	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.071																																																								0.15	0.18	0.164	0.156	0.155		0.158																																																																											0.177	0.19	0.156	0.165	0.169															
CPI-SC039AFE4AD	GDF7_BMPR1B_BMPR2	simple:Q7Z4P5	complex:BMPR1B_BMPR2	GDF7		True	False	True	curated	False	Ligand-Receptor	Signaling by Growth differentiation factor	0.071																																														0.385	0.368	0.433	0.397	0.422																																																																													0.334	0.327	0.359	0.3	0.301			0.371																						
CPI-SC070B9F112	BMP2_BMPR1A_BMPR2	simple:P12643	complex:BMPR1A_BMPR2	BMP2		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.071																			0.118		0.093	0.118	0.1	0.119																																																																																																							0.12	0.082	0.123		0.095	0.095		0.103																						
CPI-CS040CDD259	b-Endorphin_byPOMC_OPRK1	complex:b-Endorphin_byPOMC	simple:P41145		OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Proopiomelanocortin	0.077																																																									0.106	0.107	0.125							0.081	0.082	0.1																																																																					0.111	0.176	0.127													0.086	0.151	0.102		
CPI-SS0C12FCB93	NLGN2_NRXN3	simple:Q8NFZ4	simple:Q9HDB5	NLGN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.077																												0.12		0.163																0.192	0.135	0.234	0.114	0.119																																																																													0.179	0.294	0.289	0.127				0.106																						
CPI-SS004C23DCE	EREG_EGFR	simple:O14944	simple:P00533	EREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.077																																																																0.355	0.416	0.496	0.448	0.409	0.483			0.423																																																																																0.378	0.397	0.399	0.369	0.406
CPI-SS0BF9265F0	CLSTN1_NRXN2	simple:O94985	simple:P58401	CLSTN1	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.077						0.364																		0.227									0.223									0.221									0.31																											0.212								0.345						0.283										0.226										0.245										0.42										0.307																								
CPI-SC0270AA5D9	COL9A2_integrin_a1b1_complex	simple:Q14055	complex:integrin_a1b1_complex	COL9A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.077							0.274									0.332									0.346									0.343									0.283																																														0.228	0.236		0.254	0.359	0.184								0.193	0.297																																																					
CPI-SC047C4B365	WNT4_FZD1_LRP6	simple:P56705	complex:FZD1_LRP6	WNT4		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.077																																														0.232	0.241	0.265	0.259	0.258	0.253																																																																												0.324	0.364	0.386	0.358	0.331			0.349																						
CPI-SS0193D81E1	NRXN2_DAG1	simple:P58401	simple:Q14118	NRXN2	DAG1	True	False	True	curated	False	Receptor-Receptor	Signaling by Neurexin	0.077																																														0.266	0.254	0.236	0.258	0.271	0.198																																																																												0.247	0.232	0.21	0.204	0.25			0.252																						
CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.077																																																	0.141	0.221			0.246																							0.255	0.335			0.36																																																		0.405	0.31			0.295		0.319													0.446	0.35						
CPI-SS08D0F9109	EFNB2_EPHB4	simple:P52799	simple:P54760	EFNB2	EPHB4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.077																				0.286	0.316	0.334	0.316	0.377																		0.245						0.242	0.26	0.241	0.303																																																																																	0.27		0.242																						
CPI-SS065B2DBAE	JAG2_NOTCH2	simple:Q9Y219	simple:Q04721	JAG2	NOTCH2	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.077	0.197			0.201				0.201	0.194																																																																									0.232	0.199	0.257	0.255			0.217		0.242	0.24					0.186																																																												
CPI-SS0514C14A6	WNT4_SFRP4	simple:P56705	simple:Q6FHJ7	WNT4	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.077																																														0.403	0.508			0.388	2.205		0.524	0.522																																																																									0.495					0.615	0.455	0.48	0.613	0.615																				
CPI-SS05F136AA2	SLITRK5_PTPRS	simple:O94991	simple:Q13332	SLITRK5	PTPRS	False	False	True	curated	False	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	0.077																					0.222	0.217	0.203	0.23			0.229																																																																	0.212		0.203	0.229			0.188				0.236		0.227	0.252																																																			
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.077																	0.173							0.158		0.196					0.176		0.247		0.285					0.162		0.233		0.271																																																																														0.236				0.165																				0.342										
CPI-SS082ABF1EA	EFNB2_EPHB3	simple:P52799	simple:P54753	EFNB2	EPHB3	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.077																				0.274	0.285	0.28	0.28																									0.211	0.206																																								0.257										0.243																														0.296	0.227				0.206									0.238													
CPI-SS095E52E66	TNFSF10_TNFRSF10D	simple:P50591	simple:Q9UBN6	TNFSF10	TNFRSF10D	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.077																																						0.315	0.318		0.315																																															0.326	0.337					0.355														0.5	0.511					0.529				0.338	0.349					0.368																																
CPI-SC0A1278CD8	GDF7_BMPR1A_BMPR2	simple:Q7Z4P5	complex:BMPR1A_BMPR2	GDF7		True	False	True	curated	False	Ligand-Receptor	Signaling by Growth differentiation factor	0.077																																														0.385	0.349	0.361	0.386	0.368	0.386																																																																												0.334	0.296	0.337		0.308	0.309		0.316																						
CPI-SS0EEECE1C4	HEBP1_FPR3	simple:Q9NRV9	simple:P25089	HEBP1	FPR3	False	False	True	curated	False	Ligand-Receptor		0.077																	0.167									0.201									0.249									0.235									0.339									0.22									0.291									0.279																0.241										0.218																				0.171										0.248																				
CPI-SS0D60A535B	SDC1_ADGRA2	simple:P18827	simple:Q96PE1	SDC1	ADGRA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Syndecan	0.077						0.265									0.27									0.262									0.285									0.216									0.245																																			0.196						0.22										0.199										0.19										0.262																								0.147										
CPI-SC0E89A4EF0	APP_TREM2_receptor	simple:P05067	complex:TREM2_receptor	APP		False	False	True	curated	False	Ligand-Receptor	Signaling by Amyloid-beta precursor protein	0.077								0.487									0.602									0.651									0.634									0.612									0.706																											0.615																0.543										0.573										0.481										0.555										0.626																				
CPI-SC01C6EA11C	BMP4_BMR1B_AVR2B	simple:P12644	complex:BMR1B_AVR2B	BMP4		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.077																																																																									0.126	0.134		0.116	0.11																																																		0.102	0.09	0.082	0.088				0.085													0.115	0.107	0.112							
CPI-SC02DEB4893	IFNG_Type_II_IFNR	simple:P01579	complex:Type_II_IFNR	IFNG		True	False	True	curated	False	Ligand-Receptor	Signaling by Interferon	0.083																																																							0.349	0.415	0.448	0.415	0.466	0.372		0.503	0.346																																																																										0.34	0.348	0.382	0.448	0.416															
CPI-SS03E48EFEA	C3_C3AR1	simple:P01024	simple:Q16581	C3	C3AR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.083								0.305									0.324									0.526									0.349									0.345																		0.273									0.33									0.368																0.276										0.29										0.404										0.308										0.434																				
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.083																																															0.235	0.233	0.235	0.256	1.0	0.298	0.269	0.647																																																																														0.542	0.389	0.347	0.738	0.36																				
CPI-SC017215F7F	GDF11_TGFR_AVR2B	simple:O95390	complex:TGFR_AVR2B	GDF11		True	False	True	curated	False	Ligand-Receptor	Signaling by Growth differentiation factor	0.083																								0.124							0.165	0.158	0.186							0.178	0.171	0.199							0.213	0.206	0.234																																																																														0.133					0.136									0.169													
CPI-SC0796645C7	WNT2B_FZD6_LRP6	simple:Q93097	complex:FZD6_LRP6	WNT2B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.083																				0.195	0.214	0.202	0.165						0.162	0.181	0.169	0.132						0.177	0.196	0.184	0.148																																																																																																						0.13													
CPI-SC07F8BC578	BMP4_BMPR1B_BMPR2	simple:P12644	complex:BMPR1B_BMPR2	BMP4		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.083																																																																									0.151	0.134	0.198	0.162	0.188																																																		0.126	0.119	0.152					0.163													0.144	0.176	0.117	0.118						
CPI-SS07ACDDCD6	APP_SORL1	simple:P05067	simple:Q92673	APP	SORL1	True	False	True	curated	False	Ligand-Receptor	Signaling by Amyloid-beta precursor protein	0.083																			0.519							0.576									0.559									0.537		0.574	0.529	0.54	0.553	0.54		0.541	0.631																											0.54																																																								0.552																				
CPI-SS09EE83769	DKK1_LRP5	simple:O94907	simple:O75197	DKK1	LRP5	True	False	True	curated	False	Ligand-Receptor	Signaling by WNT	0.083	0.154																																													0.179		0.144	0.136	0.136																																					0.146																														0.176							0.133			0.57	0.504	0.509	0.496				0.528																						
CPI-SC0D5418330	COL5A3_integrin_a2b1_complex	simple:P25940	complex:integrin_a2b1_complex	COL5A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.083																																															0.159	0.163	0.206	0.346																							0.187	0.237	0.241	0.285	0.425																																																																						0.15	0.211	0.346	0.263						
CPI-SS00216A960	CD320_JAML	simple:Q9NPF0	simple:Q86YT9	CD320	JAML	False	False	True	curated	False	Ligand-Receptor		0.083								0.388									0.393									0.4									0.648									0.528									0.477									0.406									0.349																									0.359										0.38										0.405										0.349										0.415																				
CPI-SC063989793	WNT4_FZD3_LRP6	simple:P56705	complex:FZD3_LRP6	WNT4		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.083																																														0.247	0.34	0.307	0.315	0.275	0.281																																																																												0.339	0.382	0.391	0.358	0.33	0.361		0.366																						
CPI-SC0C93C7670	C3_integrin_aMb2_complex	simple:P01024	complex:integrin_aMb2_complex	C3		True	False	False	curated	True	Ligand-Receptor	Signaling by Complement	0.083								0.183									0.203									0.405									0.227									0.223																		0.151									0.208									0.246																0.154										0.168										0.283										0.187										0.312																				
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	HLA-F	LILRB2	False	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.083								0.207									0.212									0.24									0.238									0.224									0.216									0.44									0.387																									0.231										0.214										0.217										0.251										0.238																				
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.083																																														0.186	0.236	0.24	0.284	0.423																							0.179	0.229	0.233	0.277	0.416																																																																							0.202	0.337	0.255						
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	HLA-F	LILRB1	True	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.083								0.169									0.174									0.203									0.2									0.186									0.178									0.402									0.349																									0.194										0.176										0.179										0.213										0.2																				
